ID,title,image_link,platform1,platform2,platform3,platform4,platform5,platform6,score
22,Aaru's Awakening,unreleased,PS4\,PS3\,XboxOne,na,na,na,0
23,A Boy and His Blob,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/A_Boy_and_His_Blob_%282009_video_game%29.jpg/220px-A_Boy_and_His_Blob_%282009_video_game%29.jpg,PS4\,PS3\,XboxOne,na,na,na,0.007578478
24,Absolute Drift: Zen Edition,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Absolute_drift_-_zen_edition.jpg/220px-Absolute_drift_-_zen_edition.jpg,PS4\,XboxOne,na,na,na,na,4.85E-05
25,Absolver,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Absolver_logo.png/220px-Absolver_logo.png,PS4\,XboxOne,na,na,na,na,0.004686818
26,Abzû,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Abzu_logo.png/220px-Abzu_logo.png,PS4\,XboxOne,na,na,na,na,0.004124011
27,Ace Combat 7: Skies Unknown,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Ace_Combat_7_Skies_Unknown_game_cover.jpg/220px-Ace_Combat_7_Skies_Unknown_game_cover.jpg,PS4\,XboxOne,na,na,na,na,0.010528359
28,Achtung! Cthulhu Tactics,unreleased,PS4\,Switch\,XboxOne,na,na,na,0
29,Act It Out! A Game of Charades,unreleased,PS4\,WiiU,na,na,na,na,0.009198971
30,Action Henk,unreleased,PS4\,XboxOne,na,na,na,na,0.00100917
31,Adios Amigos,unreleased,PS4\,XboxOne,na,na,na,na,0.116986075
32,Adrift,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Adrift.png/220px-Adrift.png,PS4,na,na,na,na,na,0.018135947
33,The Adventure Pals,unreleased,PS4\,Switch\,XboxOne,na,na,na,0.003687351
34,Adventures of Pip,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Adventures_of_Pip_cover.png/220px-Adventures_of_Pip_cover.png,PS4\,WiiU\,XboxOne,na,na,na,0.015186066
35,Adventures of Scarlet Curiosity,unreleased,PS4,na,na,na,na,na,9.70E-06
36,Adventure Time: Finn & Jake Investigations,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Adventure_Time_FaJI_WiiUboxart.png/220px-Adventure_Time_FaJI_WiiUboxart.png,PS4\,PS3\,WiiU\,Xbox360\,XboxOne,na,7.76E-05
37,Aegis Defenders,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Aegis_Defenders.jpg/220px-Aegis_Defenders.jpg,PS4\,Switch,na,na,na,na,0.003832905
38,Aegis of Earth: Protonovus Assault,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Aegis_of_Earth_Vita_cover_art.jpg/220px-Aegis_of_Earth_Vita_cover_art.jpg,PS4\,PS3,na,na,na,na,0
39,AER: Memories of Old,unreleased,PS4\,XboxOne,na,na,na,na,0.000950949
40,AeternoBlade,unreleased,PS4\,Switch\,XboxOne,na,na,na,0.000902431
41,AFL Evolution,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/AFL_Evolution_Cover.jpg/220px-AFL_Evolution_Cover.jpg,PS4\,XboxOne,na,na,na,na,0.001271166
42,Agatha Christie: The ABC Murders,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Agatha_christie_abc_2016.jpg/220px-Agatha_christie_abc_2016.jpg,PS4\,XboxOne,na,na,na,na,0.001242055
43,Agents of Mayhem,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Agents_of_Mayhem_box_art.png/220px-Agents_of_Mayhem_box_art.png,PS4\,XboxOne,na,na,na,na,0.005598952
44,Agony,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Agony_2017_pre-release_Steam.jpg/220px-Agony_2017_pre-release_Steam.jpg,PS4,na,na,na,na,na,0.009761778
45,A Hat in Time,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/A_Hat_in_Time_logo.png/220px-A_Hat_in_Time_logo.png,PS4\,Switch\,XboxOne,na,na,na,0.080277522
46,A Healer Only Lives Twice,unreleased,PS4,na,na,na,na,na,0.002978992
47,AIPD,unreleased,PS4\,XboxOne,na,na,na,na,9.70E-06
48,Air Conflicts: Pacific Carriers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflict_Pacific_Carrier_cover_artwork.png/220px-Air_Conflict_Pacific_Carrier_cover_artwork.png,PS4\,PS3\,Switch\,Xbox360,na,na,0.001407016
49,Air Conflicts: Vietnam,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflicts_Vietnam_box_art.jpg/220px-Air_Conflicts_Vietnam_box_art.jpg,PS4\,PS3\,Xbox360,na,na,na,0.006045316
50,Airship Q,unreleased,PS4,na,na,na,na,na,0.016515453
51,AI: The Somnium Files,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/AI_The_Somnium_Files.png/220px-AI_The_Somnium_Files.png,PS4\,Switch,na,na,na,na,0.017806026
52,Akiba's Beat,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/AkibasBeat.jpg/220px-AkibasBeat.jpg,PS4,na,na,na,na,na,0.00204745
53,Akiba's Trip: Undead & Undressed,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Akiba%27s_Trip_2_Cover.jpg/220px-Akiba%27s_Trip_2_Cover.jpg,PS4\,PS3,na,na,na,na,0.0002717
54,Alaloth: Champions of The Four Kingdoms,unreleased,PS4\,XboxOne,na,na,na,na,0.000553103
55,Alekhine's Gun,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Alekhines_gun_cover.jpg/220px-Alekhines_gun_cover.jpg,PS4\,XboxOne,na,na,na,na,0.002687885
56,Alienation,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Alienation_video_game_logo.png/220px-Alienation_video_game_logo.png,PS4,na,na,na,na,na,0.064004658
57,Alien: Isolation,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Alien_Isolation.jpg/220px-Alien_Isolation.jpg,PS4\,PS3\,Xbox360\,XboxOne,na,na,0.0139149
58,The Alliance Alive HD Remastered,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Alliance_Alive_cover_art.jpg/220px-Alliance_Alive_cover_art.jpg,PS4\,Switch,na,na,na,na,0.007821066
59,Alone with You,unreleased,PS4,na,na,na,na,na,0.003076027
60,Alwa's Awakening,unreleased,PS4,na,na,na,na,na,0.001115909
61,Always Sometimes Monsters,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Always_Sometimes_Monsters_logo.png/220px-Always_Sometimes_Monsters_logo.png,PS4,na,na,na,na,na,0.042404541
62,Amazing Discoveries in Outer Space,unreleased,PS4,na,na,na,na,na,0.016321382
63,The Amazing Spider-Man 2,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/The_Amazing_Spider-Man_2_cover.png/220px-The_Amazing_Spider-Man_2_cover.png,PS4\,PS3\,WiiU\,XboxOne,na,na,0.023909563
64,American Fugitive,unreleased,PS4,na,na,na,na,na,0.007500849
65,Amnesia: Collection,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Amnesia-The-Dark-Descent-Cover-Art.png/220px-Amnesia-The-Dark-Descent-Cover-Art.png,PS4,na,na,na,na,na,0.004919703
66,Among the Sleep,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Among_the_Sleep_cover_artwork.jpg/220px-Among_the_Sleep_cover_artwork.jpg,PS4\,XboxOne,na,na,na,na,0.052408908
67,Amplitude,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Amplitudebox.jpg/220px-Amplitudebox.jpg,PS4\,PS3,na,na,na,na,0.019746737
