Console,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
XBOX ONE X,CPU: Custom CPU 2.3 GHz 8 cores,GPU: Custom GPU 1.172 GHz 40 CUs Polaris features 6.0 TFLOPS,Memory: 8GB Flash Memory 12 GB GDDR5 at 326 GB/s,HDD Internal Storage: 1TB,Weight: 8.4lbs (3.81 kg),Video: 4K UHD Blu-ray Optical Disc Drive, HDMI 2.0b (out) 2160p 60Hz, HDR10,Audio: 5.1 DTS & Digital 5.1 DOLBY & TrueHD with Atmos & PCM 2.0 & 5.1 & 7.1,WiFi: Dual band wireless with Wi-Fi Direct for home networks,IR: IR Blaster Send and receive signals,Connectivity: Power Port & 2 HDMI Ports(1 HDMI 1.4b in & 1 HDMI 2.0b out) & 3 USB 3.0 Ports & IR Out & S/PDIF & Ethernet Port,n/a,n/a,n/a,n/a,n/a
XBOX 360,CPU: Custom IBM Power PC-Based & 3 symmetrical cores running at 3.2 GHz each,GPU: Custom ATI Graphics Processor 500 MHz,Memory: 512MB of GDDR3 RAM,Storage: Detachable 20GB hard drive upgradable to 2TB,Weight: 7.7 pounds with a hard drive,Video: HDMI port,Audio: Multichannel surround sound output,Polygon Performance: 500 million triangles per second,Shader Performance: 48 billion shader operations per second,Memory Bandwidth: 22.4 GB/s memory interface bus bandwidth,I/O: Support for up to four wireless game controllers,Digital Media Support: DVD-Video & DVD-ROM & DVD-R/RW & DVD+R/RW & CD-DA & CD-ROM & CD-R & CD-RW & WMA CD & MP3 CD & JPEG Photo CD,System Orientation: Stands vertically or horizontally,Customizable Face Plates: Interchangeable to personalize the console,n/a,n/a
Switch,CPU: NVIDIA Custom Tegra processor,GPU: Nvidia GM20B Maxwell-based GPU,Memory: 32GB of internal NAND memory (a portion of which is reserved for use by the system),Storage: 32 GB of internal storage microSDHC or microSDXC cards up to 2TB (sold separately),Weight: Approximately .66 lbs (Approximately .88 lbs when Joy-Con controllers are attached),Video output: Up to 1080p via HDMI in TV modeUp to 720p via built-in screen in tabletop mode and handheld mode,Audio output: Compatible with 5.1ch Linear PCM outputOutput via HDMI connector in TV mode,Size: Approximately 4 inches high 9.4 inches long and 0.55 inches deep (with Joy-Con attached),Screen: Multi-touch capacitive touch screen / 6.2-inch LCD Screen / 1280 x 720,Wireless: Wi-Fi (IEEE 802.11 a/b/g/n/ac) and Bluetooth 4.1,Speakers: Stereo,Buttons: Power button / Volume button,Headphone/mic jack: 3.5mm audio jack,microSD card slot: Compatible with microSD/microSDHC/microSDXC memory cards,Sensor: Accelerometer & gyroscope & brightness sensor,Internal battery: Lithium-ion battery/4310mAh,Battery life: Approximately 2.5 - 6.5 hours,Charging time: Approximately 3 hours
PS4 Pro,CPU: x86-64 AMD Jaguar 8 cores,GPU: 4.20 TFLOPS & AMD Radeon based graphics engine,Memory: GDDR5 8GB,Storage size: 1TB,Mass: Approx. 3.3 kg,AV output: HDMI out port (supports 4K/HDR),Main processor: Single-chip custom processor,BD/ DVD drive(read only): BD 6 CAV/ DVD 8 CAV,Input/ Output: 3 Super-Speed USB (USB 3.1 Gen.1) ports/ AUX port,Networking: Ethernet (10BASE-T /100BASE-TX /1000BASE-T) & IEEE 802.11 a/b/g/n/ac & Bluetooth 4.0 (LE),Power: AC 100-240V, 50/60Hz,Power consumption: Max. 310W,n/a,n/a,n/a
PS4 Slim,CPU: x86-64 AMD Jaguar 8 cores,GPU: 1.84 TFLOPS & AMD Radeon based graphics engine,Memory: GDDR5 8GB,Storage size: 500GB, or 1TB,Mass: Approx. 2.1 kg,AV output: HDMI out port (HDR output supported),Main processor: Single-chip custom processor,BD/ DVD drive(read only): BD 6 CAV/ DVD 8 CAV,Input/ Output: 2 Super-Speed USB (USB 3.1 Gen1) ports/ AUX port,Networking: Ethernet (10BASE-T /100BASE-TX /1000BASE-T) & IEEE 802.11 a/b/g/n/ac & Bluetooth v4.0,Power: AC 100-240V 50/60Hz,Power consumption: Max. 165W,n/a,n/a,n/a
Wii U,CPU: IBM Power-based multi-core processor,GPU: AMD Radeon-based High Definition GPU,Memory: 8 to 32GB of internal memory,Storage: internal flash memory (8 GB with the Basic Set; 32 GB with the Deluxe Set),Weight: Approximately 3.5 pounds (1.6 kg),Video Output: Supports HDMI & Wii D-Terminal & Wii Component Video & Wii RGB & Wii S-Video Stereo AV & Wii AV,Audio Output: six-channel PCM linear output via HDMI connector or analog output via the AV Multi Out connector,Size: Approximately 1.8 inches high & 10.6 inches deep and 6.75 inches long,Storage Support: SDHC memory cards and external USB storage,Media: Wii U and Wii optical discs (25 GB data capacity),Networking: wireless (IEEE 802.11b/g/n) connection,Connectors: 4 USB 2.0 connectors that support Wii LAN Adapters,Energy Efficiency: specially designed power-saving features to lower its energy consumption,GamePad: Wii U GamePad,n/a,n/a
